Timestamp,Irradiance(W/m2),Power(KW)
2022-01-27 00:00:00,-3.0,0.0
2022-01-27 00:05:00,-4.33,0.0
2022-01-27 00:10:00,-3.67,0.0
2022-01-27 00:15:00,-4.33,0.0
2022-01-27 00:20:00,-4.33,0.0
2022-01-27 00:25:00,-4.33,0.0
2022-01-27 00:30:00,-4.33,0.0
2022-01-27 00:35:00,-4.67,0.0
2022-01-27 00:40:00,-4.0,0.0
2022-01-27 00:45:00,-4.33,0.0
2022-01-27 00:50:00,-4.0,0.0
2022-01-27 00:55:00,-4.33,0.0
2022-01-27 01:00:00,-4.33,0.0
2022-01-27 01:05:00,-3.67,0.0
2022-01-27 01:10:00,-4.33,0.0
2022-01-27 01:15:00,-4.0,0.0
2022-01-27 01:20:00,-3.0,0.0
2022-01-27 01:25:00,-3.33,0.0
2022-01-27 01:30:00,-3.67,0.0
2022-01-27 01:35:00,-3.67,0.0
2022-01-27 01:40:00,-4.33,0.0
2022-01-27 01:45:00,-4.0,0.0
2022-01-27 01:50:00,-4.67,0.0
2022-01-27 01:55:00,-4.67,0.0
2022-01-27 02:00:00,-4.33,0.0
2022-01-27 02:05:00,-6.33,0.0
2022-01-27 02:10:00,6.33,0.0
2022-01-27 02:15:00,-5.0,0.0
2022-01-27 02:20:00,-4.33,0.0
2022-01-27 02:25:00,-4.33,0.0
2022-01-27 02:30:00,-4.67,0.0
2022-01-27 02:35:00,-5.0,0.0
2022-01-27 02:40:00,-4.33,0.0
2022-01-27 02:45:00,-3.67,0.0
2022-01-27 02:50:00,-3.0,0.0
2022-01-27 02:55:00,-2.67,0.0
2022-01-27 03:00:00,-3.33,0.0
2022-01-27 03:05:00,-3.0,0.0
2022-01-27 03:10:00,-3.33,0.0
2022-01-27 03:15:00,-3.0,0.0
2022-01-27 03:20:00,-2.67,0.0
2022-01-27 03:25:00,-2.33,0.0
2022-01-27 03:30:00,-2.67,0.0
2022-01-27 03:35:00,-2.0,0.0
2022-01-27 03:40:00,-2.0,0.0
2022-01-27 03:45:00,-2.67,0.0
2022-01-27 03:50:00,-2.33,0.0
2022-01-27 03:55:00,-2.33,0.0
2022-01-27 04:00:00,-3.0,0.0
2022-01-27 04:05:00,-3.0,0.0
2022-01-27 04:10:00,-3.0,0.0
2022-01-27 04:15:00,-2.67,0.0
2022-01-27 04:20:00,-2.33,0.0
2022-01-27 04:25:00,-2.33,0.0
2022-01-27 04:30:00,-3.33,0.0
2022-01-27 04:35:00,-2.67,0.0
2022-01-27 04:40:00,-2.67,0.0
2022-01-27 04:45:00,-3.33,0.0
2022-01-27 04:50:00,-3.0,0.0
2022-01-27 04:55:00,-2.67,0.0
2022-01-27 05:00:00,-3.0,0.0
2022-01-27 05:05:00,-3.33,0.0
2022-01-27 05:10:00,-2.67,0.0
2022-01-27 05:15:00,-3.0,0.0
2022-01-27 05:20:00,-2.67,0.0
2022-01-27 05:25:00,-2.33,0.0
2022-01-27 05:30:00,-2.67,0.0
2022-01-27 05:35:00,-2.33,0.0
2022-01-27 05:40:00,-2.67,0.0
2022-01-27 05:45:00,-3.0,0.0
2022-01-27 05:50:00,-3.0,0.0
2022-01-27 05:55:00,-3.0,0.0
2022-01-27 06:00:00,-2.67,0.0
2022-01-27 06:05:00,-3.0,0.0
2022-01-27 06:10:00,-2.67,0.0
2022-01-27 06:15:00,-3.0,0.0
2022-01-27 06:20:00,-3.0,0.0
2022-01-27 06:25:00,-3.33,0.0
2022-01-27 06:30:00,-2.67,0.0
2022-01-27 06:35:00,-3.0,0.0
2022-01-27 06:40:00,-3.33,0.0
2022-01-27 06:45:00,-3.67,0.0
2022-01-27 06:50:00,-4.0,0.0
2022-01-27 06:55:00,-3.0,0.0
2022-01-27 07:00:00,-4.0,0.0
2022-01-27 07:05:00,-3.67,0.0
2022-01-27 07:10:00,-4.0,0.0
2022-01-27 07:15:00,-4.0,0.0
2022-01-27 07:20:00,-4.0,0.0
2022-01-27 07:25:00,-4.0,0.0
2022-01-27 07:30:00,-3.33,0.0
2022-01-27 07:35:00,-2.67,0.02
2022-01-27 07:40:00,-1.67,0.18
2022-01-27 07:45:00,0.67,5.21
2022-01-27 07:50:00,2.67,17.64
2022-01-27 07:55:00,5.67,36.78
2022-01-27 08:00:00,9.33,60.68
2022-01-27 08:05:00,13.0,85.46
2022-01-27 08:10:00,25.0,146.51
2022-01-27 08:15:00,135.67,561.06
2022-01-27 08:20:00,174.0,774.6
2022-01-27 08:25:00,164.33,792.23
2022-01-27 08:30:00,66.0,471.06
2022-01-27 08:35:00,145.0,926.83
2022-01-27 08:40:00,200.0,1334.86
2022-01-27 08:45:00,331.67,2078.06
2022-01-27 08:50:00,228.0,1430.72
2022-01-27 08:55:00,157.33,1084.7
2022-01-27 09:00:00,128.33,903.74
2022-01-27 09:05:00,142.33,1030.81
2022-01-27 09:10:00,252.67,1874.45
2022-01-27 09:15:00,261.0,2025.26
2022-01-27 09:20:00,212.0,1585.43
2022-01-27 09:25:00,212.67,1692.11
2022-01-27 09:30:00,256.33,2002.42
2022-01-27 09:35:00,173.67,1329.95
2022-01-27 09:40:00,198.0,1567.31
2022-01-27 09:45:00,234.33,1906.36
2022-01-27 09:50:00,214.67,1676.51
2022-01-27 09:55:00,221.0,1727.02
2022-01-27 10:00:00,231.0,1826.21
2022-01-27 10:05:00,348.0,2750.78
2022-01-27 10:10:00,329.33,2740.86
2022-01-27 10:15:00,291.0,2279.78
2022-01-27 10:20:00,304.0,2378.81
2022-01-27 10:25:00,311.33,2500.62
2022-01-27 10:30:00,201.67,1505.48
2022-01-27 10:35:00,206.67,1583.8
2022-01-27 10:40:00,298.0,2370.92
2022-01-27 10:45:00,328.33,2507.69
2022-01-27 10:50:00,429.67,3604.54
2022-01-27 10:55:00,458.0,3688.16
2022-01-27 11:00:00,387.0,2995.09
2022-01-27 11:05:00,363.33,2971.93
2022-01-27 11:10:00,490.0,3714.55
2022-01-27 11:15:00,592.33,4593.36
2022-01-27 11:20:00,662.67,4952.52
2022-01-27 11:25:00,690.0,5428.25
2022-01-27 11:30:00,566.0,4476.31
2022-01-27 11:35:00,503.0,3768.3
2022-01-27 11:40:00,517.67,3829.27
2022-01-27 11:45:00,447.33,3547.51
2022-01-27 11:50:00,462.0,3768.23
2022-01-27 11:55:00,596.67,4876.15
2022-01-27 12:00:00,441.67,3315.83
2022-01-27 12:05:00,455.33,3647.15
2022-01-27 12:10:00,430.33,3361.78
2022-01-27 12:15:00,404.67,3143.9
2022-01-27 12:20:00,367.0,2744.68
2022-01-27 12:25:00,685.33,5766.18
2022-01-27 12:30:00,719.33,5748.12
2022-01-27 12:35:00,767.67,6022.15
2022-01-27 12:40:00,795.0,6368.66
2022-01-27 12:45:00,828.0,6387.83
2022-01-27 12:50:00,823.33,6352.67
2022-01-27 12:55:00,823.33,6316.54
2022-01-27 13:00:00,897.33,6918.82
2022-01-27 13:05:00,878.33,6784.92
2022-01-27 13:10:00,774.67,5894.54
2022-01-27 13:15:00,864.67,6591.28
2022-01-27 13:20:00,640.67,5306.64
2022-01-27 13:25:00,496.0,3961.13
2022-01-27 13:30:00,411.0,3164.03
2022-01-27 13:35:00,430.33,3378.46
2022-01-27 13:40:00,494.0,3915.46
2022-01-27 13:45:00,593.67,4772.47
2022-01-27 13:50:00,676.0,5341.78
2022-01-27 13:55:00,731.67,5679.53
2022-01-27 14:00:00,704.33,5485.94
2022-01-27 14:05:00,616.0,4772.63
2022-01-27 14:10:00,423.33,3274.6
2022-01-27 14:15:00,593.33,4624.62
2022-01-27 14:20:00,664.33,5287.52
2022-01-27 14:25:00,642.0,5035.8
2022-01-27 14:30:00,599.0,4644.53
2022-01-27 14:35:00,578.33,4514.86
2022-01-27 14:40:00,461.67,3647.14
2022-01-27 14:45:00,606.33,4935.78
2022-01-27 14:50:00,604.67,4857.3
2022-01-27 14:55:00,453.0,3636.76
2022-01-27 15:00:00,238.33,1800.65
2022-01-27 15:05:00,189.0,1389.96
2022-01-27 15:10:00,160.67,1186.92
2022-01-27 15:15:00,286.0,2385.88
2022-01-27 15:20:00,339.67,2749.48
2022-01-27 15:25:00,321.33,2506.97
2022-01-27 15:30:00,338.33,2686.43
2022-01-27 15:35:00,290.67,2247.08
2022-01-27 15:40:00,250.0,1875.54
2022-01-27 15:45:00,174.33,1247.16
2022-01-27 15:50:00,153.33,1115.2
2022-01-27 15:55:00,172.33,1258.5
2022-01-27 16:00:00,253.67,1731.44
2022-01-27 16:05:00,281.67,1830.0
2022-01-27 16:10:00,93.0,661.15
2022-01-27 16:15:00,91.67,672.46
2022-01-27 16:20:00,146.0,962.59
2022-01-27 16:25:00,161.0,1045.37
2022-01-27 16:30:00,116.67,689.66
2022-01-27 16:35:00,147.0,797.72
2022-01-27 16:40:00,170.33,767.69
2022-01-27 16:45:00,136.67,569.93
2022-01-27 16:50:00,104.0,422.03
2022-01-27 16:55:00,84.33,295.6
2022-01-27 17:00:00,80.0,209.65
2022-01-27 17:05:00,48.33,134.63
2022-01-27 17:10:00,19.67,81.05
2022-01-27 17:15:00,9.33,53.88
2022-01-27 17:20:00,6.0,28.74
2022-01-27 17:25:00,3.33,10.87
2022-01-27 17:30:00,0.67,5.1
2022-01-27 17:35:00,-0.67,2.17
2022-01-27 17:40:00,-1.33,1.21
2022-01-27 17:45:00,-2.33,0.91
2022-01-27 17:50:00,-2.67,0.0
2022-01-27 17:55:00,-2.33,0.0
2022-01-27 18:00:00,-2.67,0.0
2022-01-27 18:05:00,-2.67,0.0
2022-01-27 18:10:00,-2.67,0.0
2022-01-27 18:15:00,-2.33,0.0
2022-01-27 18:20:00,-2.33,0.0
2022-01-27 18:25:00,-3.0,0.0
2022-01-27 18:30:00,-2.67,0.0
2022-01-27 18:35:00,-3.0,0.0
2022-01-27 18:40:00,-2.67,0.0
2022-01-27 18:45:00,-2.67,0.0
2022-01-27 18:50:00,-3.33,0.0
2022-01-27 18:55:00,-3.33,0.0
2022-01-27 19:00:00,-3.33,0.0
2022-01-27 19:05:00,-3.0,0.0
2022-01-27 19:10:00,-3.33,0.0
2022-01-27 19:15:00,-3.67,0.0
2022-01-27 19:20:00,-2.67,0.0
2022-01-27 19:25:00,-2.33,0.0
2022-01-27 19:30:00,-2.67,0.0
2022-01-27 19:35:00,-3.0,0.0
2022-01-27 19:40:00,-3.33,0.0
2022-01-27 19:45:00,-3.0,0.0
2022-01-27 19:50:00,-3.33,0.0
2022-01-27 19:55:00,-3.67,0.0
2022-01-27 20:00:00,-3.67,0.0
2022-01-27 20:05:00,-3.33,0.0
2022-01-27 20:10:00,-3.0,0.0
2022-01-27 20:15:00,-3.67,0.0
2022-01-27 20:20:00,-3.33,0.0
2022-01-27 20:25:00,-3.33,0.0
2022-01-27 20:30:00,-3.0,0.0
2022-01-27 20:35:00,-3.0,0.0
2022-01-27 20:40:00,-3.0,0.0
2022-01-27 20:45:00,-3.0,0.0
2022-01-27 20:50:00,-2.67,0.0
2022-01-27 20:55:00,-3.33,0.0
2022-01-27 21:00:00,-3.0,0.0
2022-01-27 21:05:00,-3.0,0.0
2022-01-27 21:10:00,-2.67,0.0
2022-01-27 21:15:00,-3.33,0.0
2022-01-27 21:20:00,-3.0,0.0
2022-01-27 21:25:00,-3.0,0.0
2022-01-27 21:30:00,-2.33,0.0
2022-01-27 21:35:00,-3.0,0.0
2022-01-27 21:40:00,-3.0,0.0
2022-01-27 21:45:00,-2.67,0.0
2022-01-27 21:50:00,-2.67,0.0
2022-01-27 21:55:00,-3.33,0.0
2022-01-27 22:00:00,-3.0,0.0
2022-01-27 22:05:00,-2.67,0.0
2022-01-27 22:10:00,-2.67,0.0
2022-01-27 22:15:00,-3.0,0.0
2022-01-27 22:20:00,-3.0,0.0
2022-01-27 22:25:00,-3.0,0.0
2022-01-27 22:30:00,-3.33,0.0
2022-01-27 22:35:00,-2.67,0.0
2022-01-27 22:40:00,-3.0,0.0
