"Period: 27/5/2023 0:00:00 -  6:52:48"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-1.00"
"0:05"	"0.00"	"-1.00"
"0:10"	"0.00"	"-0.67"
"0:15"	"0.00"	"-0.67"
"0:20"	"0.00"	"-0.67"
"0:25"	"0.00"	"-0.33"
"0:30"	"0.00"	"0.00"
"0:35"	"0.00"	"0.33"
"0:40"	"0.00"	"0.00"
"0:45"	"0.00"	"0.33"
"0:50"	"0.00"	"0.00"
"0:55"	"0.00"	"0.00"
"1:00"	"0.00"	"0.00"
"1:05"	"0.00"	"0.33"
"1:10"	"0.00"	"0.67"
"1:15"	"0.00"	"0.00"
"1:20"	"0.00"	"0.33"
"1:25"	"0.00"	"-0.33"
"1:30"	"0.00"	"-0.33"
"1:35"	"0.00"	"-0.67"
"1:40"	"0.00"	"-1.00"
"1:45"	"0.00"	"-0.67"
"1:50"	"0.00"	"-0.33"
"1:55"	"0.00"	"-0.33"
"2:00"	"0.00"	"0.00"
"2:05"	"0.00"	"-2.67"
"2:10"	"0.00"	"-0.67"
"2:15"	"0.00"	"-1.33"
"2:20"	"0.00"	"-0.67"
"2:25"	"0.00"	"-0.33"
"2:30"	"0.00"	"-1.00"
"2:35"	"0.00"	"-1.00"
"2:40"	"0.00"	"-0.67"
"2:45"	"0.00"	"-0.67"
"2:50"	"0.00"	"-0.67"
"2:55"	"0.00"	"0.00"
"3:00"	"0.00"	"0.00"
"3:05"	"0.00"	"-0.33"
"3:10"	"0.00"	"0.00"
"3:15"	"0.00"	"-0.33"
"3:20"	"0.00"	"-0.33"
"3:25"	"0.00"	"-0.67"
"3:30"	"0.00"	"-1.00"
"3:35"	"0.00"	"-0.33"
"3:40"	"0.00"	"-0.67"
"3:45"	"0.00"	"-1.00"
"3:50"	"0.00"	"-0.33"
"3:55"	"0.00"	"-0.33"
"4:00"	"0.00"	"-1.33"
"4:05"	"0.00"	"-1.00"
"4:10"	"0.00"	"-0.67"
"4:15"	"0.00"	"-1.00"
"4:20"	"0.00"	"-0.67"
"4:25"	"0.00"	"-1.33"
"4:30"	"0.00"	"-1.33"
"4:35"	"0.00"	"-1.67"
"4:40"	"0.00"	"-1.67"
"4:45"	"0.00"	"-1.00"
"4:50"	"0.00"	"-1.00"
"4:55"	"0.00"	"-1.33"
"5:00"	"0.00"	"-1.67"
"5:05"	"0.00"	"-1.00"
"5:10"	"0.00"	"-1.00"
"5:15"	"0.00"	"-1.00"
"5:20"	"0.00"	"-1.00"
"5:25"	"0.00"	"-1.00"
"5:30"	"0.00"	"-0.33"
"5:35"	"0.02"	"-0.33"
"5:40"	"0.19"	"1.00"
"5:45"	"2.29"	"2.00"
"5:50"	"13.80"	"4.67"
"5:55"	"26.40"	"6.33"
"6:00"	"42.61"	"8.67"
"6:05"	"49.90"	"10.33"
"6:10"	"60.97"	"12.00"
"6:15"	"77.06"	"14.33"
"6:20"	"91.69"	"16.67"
"6:25"	"91.22"	"17.33"
"6:30"	"93.79"	"18.00"
"6:35"	"99.94"	"18.00"
"6:40"	"122.93"	"22.00"
"6:45"	"172.26"	"27.33"
"6:50"	"358.70"	"49.33"
"6:55"	"504.54"	"68.33"
"7:00"	"517.56"	"71.00"
"7:05"	"399.14"	"58.67"
"7:10"	"360.49"	"53.00"
"7:15"	"423.31"	"60.33"
"7:20"	"595.75"	"79.67"
"7:25"	"754.21"	"99.33"
"7:30"	"832.69"	"108.00"
"7:35"	"810.94"	"107.33"
"7:40"	"842.82"	"110.67"
"7:45"	"751.08"	"101.67"
"7:50"	"727.08"	"100.33"
"7:55"	"769.88"	"102.00"
"8:00"	"941.36"	"121.00"
"8:05"	"1223.64"	"154.67"
"8:10"	"1359.77"	"172.67"
"8:15"	"1371.49"	"175.67"
"8:20"	"1062.89"	"141.33"
"8:25"	"907.43"	"122.00"
"8:30"	"900.11"	"121.33"
"8:35"	"872.20"	"116.33"
"8:40"	"736.58"	"99.33"
"8:45"	"821.26"	"106.67"
"8:50"	"1143.96"	"142.67"
"8:55"	"1157.11"	"147.00"
"9:00"	"1199.77"	"151.33"
"9:05"	"1274.86"	"161.67"
"9:10"	"1276.62"	"163.33"
"9:15"	"1544.87"	"193.33"
"9:20"	"1510.13"	"192.00"
"9:25"	"2080.30"	"260.67"
"9:30"	"2542.44"	"328.00"
"9:35"	"2593.08"	"329.67"
"9:40"	"2194.21"	"288.33"
"9:45"	"2107.43"	"275.33"
"9:50"	"2557.61"	"333.00"
"9:55"	"3224.98"	"414.67"
"10:00"	"2378.17"	"308.67"
"10:05"	"1972.80"	"255.00"
"10:10"	"1718.06"	"219.67"
"10:15"	"1430.28"	"182.33"
"10:20"	"1142.62"	"148.00"
"10:25"	"1153.75"	"149.33"
"10:30"	"1606.93"	"203.33"
"10:35"	"1917.56"	"242.33"
"10:40"	"2898.38"	"364.33"
"10:45"	"3436.40"	"440.67"
"10:50"	"3068.92"	"402.67"
"10:55"	"3123.98"	"405.67"
"11:00"	"3488.83"	"457.67"
"11:05"	"3396.89"	"444.00"
"11:10"	"2564.84"	"333.67"
"11:15"	"2711.22"	"345.00"
"11:20"	"1987.21"	"256.67"
"11:25"	"1666.69"	"212.67"
"11:30"	"2147.38"	"271.33"
"11:35"	"2780.22"	"354.33"
"11:40"	"3319.72"	"425.33"
"11:45"	"3101.57"	"400.67"
"11:50"	"2743.87"	"355.67"
"11:55"	"2692.32"	"347.67"
"12:00"	"2734.00"	"351.33"
"12:05"	"3023.40"	"386.33"
"12:10"	"3379.69"	"438.00"
"12:15"	"3170.51"	"415.00"
"12:20"	"3473.00"	"457.00"
"12:25"	"4288.66"	"573.00"
"12:30"	"7500.00"	"1147.33"
"12:35"	"6630.16"	"980.33"
"12:40"	"7098.02"	"1054.67"
"12:45"	"6936.49"	"1034.33"
"12:50"	"6880.46"	"1027.00"
"12:55"	"6847.94"	"1026.00"
"13:00"	"6845.39"	"1028.00"
"13:05"	"6882.06"	"1029.00"
"13:10"	"6929.12"	"1036.33"
"13:15"	"6919.40"	"1036.00"
"13:20"	"6922.31"	"1037.00"
"13:25"	"6926.20"	"1036.67"
"13:30"	"6922.74"	"1035.67"
"13:35"	"6936.80"	"1036.00"
"13:40"	"6936.94"	"1037.33"
"13:45"	"6916.36"	"1036.33"
"13:50"	"6914.42"	"1035.67"
"13:55"	"6949.06"	"1034.00"
"14:00"	"6920.38"	"1029.33"
"14:05"	"6869.08"	"1027.00"
"14:10"	"6826.61"	"1020.33"
"14:15"	"6886.06"	"1026.33"
"14:20"	"6805.64"	"1015.67"
"14:25"	"6780.22"	"1006.33"
"14:30"	"3251.51"	"540.67"
"14:35"	"1738.12"	"263.67"
"14:40"	"6036.89"	"843.00"
"14:45"	"7192.04"	"1032.00"
"14:50"	"2901.34"	"482.33"
