"year","month","day","hour","minute","irradiance","power"
2023,10,19,0,0,-2.33,0.0
2023,10,19,0,5,-2.67,0.0
2023,10,19,0,10,-2.67,0.0
2023,10,19,0,15,-2.67,0.0
2023,10,19,0,20,-2.67,0.0
2023,10,19,0,25,-3.33,0.0
2023,10,19,0,30,-3.0,0.0
2023,10,19,0,35,-4.0,0.0
2023,10,19,0,40,-3.67,0.0
2023,10,19,0,45,-2.67,0.0
2023,10,19,0,50,-2.67,0.0
2023,10,19,0,55,-3.0,0.0
2023,10,19,1,0,-3.0,0.0
2023,10,19,1,5,-2.67,0.0
2023,10,19,1,10,-2.67,0.0
2023,10,19,1,15,-2.67,0.0
2023,10,19,1,20,-2.33,0.0
2023,10,19,1,25,-3.0,0.0
2023,10,19,1,30,-3.33,0.0
2023,10,19,1,35,-3.0,0.0
2023,10,19,1,40,-3.0,0.0
2023,10,19,1,45,-2.33,0.0
2023,10,19,1,50,-3.0,0.0
2023,10,19,1,55,-3.0,0.0
2023,10,19,2,0,-3.0,0.0
2023,10,19,2,5,-5.67,0.0
2023,10,19,2,10,-4.0,0.0
2023,10,19,2,15,-4.0,0.0
2023,10,19,2,20,-2.67,0.0
2023,10,19,2,25,-3.0,0.0
2023,10,19,2,30,-2.67,0.0
2023,10,19,2,35,-2.67,0.0
2023,10,19,2,40,-3.0,0.0
2023,10,19,2,45,-3.0,0.0
2023,10,19,2,50,-3.67,0.0
2023,10,19,2,55,-3.33,0.0
2023,10,19,3,0,-3.33,0.0
2023,10,19,3,5,-3.67,0.0
2023,10,19,3,10,-3.0,0.0
2023,10,19,3,15,-3.67,0.0
2023,10,19,3,20,-3.67,0.0
2023,10,19,3,25,-3.0,0.0
2023,10,19,3,30,-3.0,0.0
2023,10,19,3,35,-2.67,0.0
2023,10,19,3,40,-2.33,0.0
2023,10,19,3,45,-3.0,0.0
2023,10,19,3,50,-2.67,0.0
2023,10,19,3,55,-3.0,0.0
2023,10,19,4,0,-2.67,0.0
2023,10,19,4,5,-2.33,0.0
2023,10,19,4,10,-3.0,0.0
2023,10,19,4,15,-2.67,0.0
2023,10,19,4,20,-2.33,0.0
2023,10,19,4,25,-2.33,0.0
2023,10,19,4,30,-2.67,0.0
2023,10,19,4,35,-2.0,0.0
2023,10,19,4,40,-2.33,0.0
2023,10,19,4,45,-2.33,0.0
2023,10,19,4,50,-2.33,0.0
2023,10,19,4,55,-2.67,0.0
2023,10,19,5,0,-2.0,0.0
2023,10,19,5,5,-2.33,0.0
2023,10,19,5,10,-2.67,0.0
2023,10,19,5,15,-2.67,0.0
2023,10,19,5,20,-2.67,0.0
2023,10,19,5,25,-3.0,0.0
2023,10,19,5,30,-2.33,0.0
2023,10,19,5,35,-2.33,0.0
2023,10,19,5,40,-3.0,0.0
2023,10,19,5,45,-2.67,0.0
2023,10,19,5,50,-2.67,0.0
2023,10,19,5,55,-2.67,0.0
2023,10,19,6,0,-2.67,0.0
2023,10,19,6,5,-2.67,0.0
2023,10,19,6,10,-3.0,0.0
2023,10,19,6,15,-3.0,0.0
2023,10,19,6,20,-2.0,0.0
2023,10,19,6,25,-2.33,0.0
2023,10,19,6,30,-2.0,0.0
2023,10,19,6,35,-2.33,0.0
2023,10,19,6,40,-1.67,0.0
2023,10,19,6,45,-2.33,0.0
2023,10,19,6,50,-2.0,0.0
2023,10,19,6,55,-2.33,0.0
2023,10,19,7,0,-2.67,0.0
2023,10,19,7,5,-3.0,0.0
2023,10,19,7,10,-3.0,0.0
2023,10,19,7,15,-3.33,0.0
2023,10,19,7,20,-2.67,0.0
2023,10,19,7,25,-2.33,0.0
2023,10,19,7,30,0.0,0.1
2023,10,19,7,35,1.33,0.5
2023,10,19,7,40,2.33,4.93
2023,10,19,7,45,4.0,14.47
2023,10,19,7,50,8.33,31.91
2023,10,19,7,55,10.67,61.58
2023,10,19,8,0,16.0,102.94
2023,10,19,8,5,21.33,143.22
2023,10,19,8,10,26.33,178.03
2023,10,19,8,15,30.33,210.71
2023,10,19,8,20,40.0,279.12
2023,10,19,8,25,55.0,398.27
2023,10,19,8,30,67.67,495.67
2023,10,19,8,35,99.67,749.03
2023,10,19,8,40,148.0,1098.02
2023,10,19,8,45,188.67,1394.92
2023,10,19,8,50,212.33,1585.84
2023,10,19,8,55,233.67,1756.46
2023,10,19,9,0,241.0,1801.42
2023,10,19,9,5,221.67,1677.62
2023,10,19,9,10,183.33,1434.5
2023,10,19,9,15,256.67,2074.79
